filename,gt_shape,gt_dtype,gt_min,gt_max,gt_mean,gt_std,gt_error,lr_shape,lr_dtype,lr_min,lr_max,lr_mean,lr_std,lr_error
000048.npy,"(256, 256)",float32,0.0,1.0,0.18419732628817354,0.24734621307248197,,"(128, 128)",float32,-0.006245862226933241,1.586019515991211,0.18483283774487802,0.255380874306531,
000049.npy,"(256, 256)",float32,0.0,1.0,0.4743168329342684,0.13608359829741848,,"(128, 128)",float32,-0.06925925612449646,1.1708776950836182,0.4736041786123486,0.14580896366415938,
000050.npy,"(256, 256)",float32,0.0,1.0,0.4778073171102458,0.13663279915612406,,"(128, 128)",float32,-0.0949362963438034,1.101843237876892,0.4771950017634694,0.1499001228662074,
000051.npy,"(256, 256)",float32,0.0,1.0,0.47686817279675814,0.13750944057358358,,"(128, 128)",float32,-0.09915529191493988,1.2124416828155518,0.4783916315555867,0.15416931842230408,
000052.npy,"(256, 256)",float32,0.0,1.0,0.6561179935896462,0.10555342518332862,,"(128, 128)",float32,0.03675331175327301,1.440768837928772,0.6559389430201463,0.1437485837291182,
000053.npy,"(256, 256)",float32,0.0,1.0,0.4108938816757926,0.22424548018101143,,"(128, 128)",float32,-0.03182025998830795,1.262935996055603,0.4108139930378948,0.23291493428376703,
000054.npy,"(256, 256)",float32,0.0,1.0,0.4107177450079065,0.2152115567416548,,"(128, 128)",float32,-0.02762581594288349,1.3471723794937134,0.41073377150286916,0.22607360382068947,
000055.npy,"(256, 256)",float32,0.0,1.0,0.32780800249137604,0.19726615689058652,,"(128, 128)",float32,-0.0188432689756155,1.1033800840377808,0.32832491652877405,0.206961799647846,
000056.npy,"(256, 256)",float32,0.0,1.0,0.3229494289390398,0.23804894335506765,,"(128, 128)",float32,-0.008528847247362137,1.2671295404434204,0.32302120836988735,0.2450092345303302,
000057.npy,"(256, 256)",float32,0.0,1.0,0.5099524808474314,0.18054418782229634,,"(128, 128)",float32,0.026279376819729805,1.378151297569275,0.5094108400165851,0.20278041688353612,
000058.npy,"(256, 256)",float32,0.0,1.0,0.5187370188900218,0.1828958684574307,,"(128, 128)",float32,0.033652644604444504,1.3730287551879883,0.5193524365188296,0.19698805826514673,
000059.npy,"(256, 256)",float32,0.0,1.0,0.5079063135163437,0.1789969054735262,,"(128, 128)",float32,0.03372812643647194,1.3649600744247437,0.506547923376047,0.19941032619309265,
000060.npy,"(256, 256)",float32,0.0,1.0,0.5940645343938407,0.23212706850347586,,"(128, 128)",float32,-0.002822097623720765,1.5941290855407715,0.5929438375450964,0.25155166107510313,
000061.npy,"(256, 256)",float32,0.0,1.0,0.44613480776129677,0.12157840176280721,,"(128, 128)",float32,0.012189063243567944,1.2478982210159302,0.446308087549653,0.14513388179281117,
000062.npy,"(256, 256)",float32,0.0,1.0,0.4349095651709147,0.12354719571229707,,"(128, 128)",float32,0.019748380407691002,1.3198362588882446,0.4339066161347773,0.1489721080608423,
000063.npy,"(256, 256)",float32,0.0,1.0,0.48637483679829074,0.11535845947766206,,"(128, 128)",float32,0.0335051491856575,1.2384047508239746,0.4854619241261844,0.14451775031958808,
000064.npy,"(256, 256)",float32,0.0,1.0,0.7370248682513321,0.2867127327445886,,"(128, 128)",float32,0.005571560934185982,1.5700370073318481,0.7387038086554298,0.3113221103297814,
000065.npy,"(256, 256)",float32,0.0,1.0,0.37586873105698476,0.14153253705709531,,"(128, 128)",float32,-0.012002913281321526,1.5558258295059204,0.3760649928177744,0.16270981630005915,
000066.npy,"(256, 256)",float32,0.0,1.0,0.372794686517675,0.14436991405849164,,"(128, 128)",float32,-0.030594347044825554,1.463112473487854,0.37241596449934766,0.16281423886969476,
000067.npy,"(256, 256)",float32,0.0,1.0,0.4542886619972961,0.1770151158351984,,"(128, 128)",float32,0.016410941258072853,1.3958054780960083,0.45414248943097846,0.19214268166908843,
000068.npy,"(256, 256)",float32,0.0,1.0,0.53784523973939,0.2368525965306098,,"(128, 128)",float32,-0.003969203680753708,1.3438165187835693,0.5374928640018481,0.2508769997904096,
000069.npy,"(256, 256)",float32,0.0,1.0,0.16875316683176603,0.1572179425943057,,"(128, 128)",float32,-0.017788203433156013,1.2649574279785156,0.16809743377551978,0.1605585094689835,
000070.npy,"(256, 256)",float32,0.0,1.0,0.16983915588556026,0.1568738771141719,,"(128, 128)",float32,-0.0123982522636652,1.2081855535507202,0.16944729020660754,0.16160048428608453,
000071.npy,"(256, 256)",float32,0.0,1.0,0.16850398547797235,0.15699709604246176,,"(128, 128)",float32,-0.008642593398690224,1.1891545057296753,0.16831924672880189,0.16101087610733592,
000072.npy,"(256, 256)",float32,0.0,1.0,0.36632305289085565,0.275653700482829,,"(128, 128)",float32,-0.026307212188839912,1.36614191532135,0.36689817711495265,0.28476373018908707,
000073.npy,"(256, 256)",float32,0.0,1.0,0.5070362110967525,0.27167783133472834,,"(128, 128)",float32,-0.008441564626991749,1.2827216386795044,0.5066680353800392,0.2831168150005208,
000074.npy,"(256, 256)",float32,0.0,1.0,0.5051900547302068,0.2749977314859903,,"(128, 128)",float32,-0.02703438512980938,1.2866294384002686,0.5057892641813937,0.28739101913882126,
000075.npy,"(256, 256)",float32,0.0,1.0,0.502774141635864,0.27461786216586104,,"(128, 128)",float32,-0.007436128333210945,1.3813575506210327,0.5021020186714873,0.29247097487379076,
000076.npy,"(256, 256)",float32,0.0,1.0,0.2863705651042636,0.20243203429885756,,"(128, 128)",float32,-0.004129795823246241,1.316648244857788,0.2856809961213429,0.21069504861475363,
000077.npy,"(256, 256)",float32,0.0,1.0,0.1693154104776582,0.12127396381598425,,"(128, 128)",float32,0.001593895605765283,1.3703551292419434,0.1694622976603668,0.1266016156584293,
000078.npy,"(256, 256)",float32,0.0,1.0,0.23154434573753235,0.12257569668961331,,"(128, 128)",float32,0.017570311203598976,1.141582727432251,0.23166900372268628,0.12972861061537524,
000079.npy,"(256, 256)",float32,0.0,1.0,0.16708602943721473,0.1040274152585932,,"(128, 128)",float32,0.0003677249769680202,1.2402276992797852,0.16803471665083336,0.11190681198259081,
